# <tech>,<mode>
# tech: tech label
# mode: research mode character, one of:
#    w - weapon
#    n - engine
#    e - empire
#
# ex:
# IND_CruisCon,e
# IND_CruisCon,w
# ^ IND_CruisCon is in weapon and empire research modes
#
# The way this is supposed to work according to forums is:
#   From all rolled techs > filter based on the tech mode > specific purpose tech groups > finally aitechprio.csv
#
# TODO: it doesn't look like this is completely free of hard-coded nonsense. AI still targets:
#       Battle Computers, VRF, PolySilicate, Reflective Coating, Green Lasers, Shaped Nuke, Sensor Jammers, Mass Driver... (and more) too early
# it seems like the AI is randomly switching into weapon mode without a reason to
# OR  the AI has some sort of hidden mode for "starter" techs, and persues those most of the time.
#
# NOTE: we hope that when a tech is specified in this file it overwrites whatever hard coded values exist (since there is no way to UN-group a tech)

# Testing tech for AI specific features
#TST_NONE,e
#TST_NONE,w
#TST_NONE,n

# TODO: Find any other hidden requirements on techs and adjust categorization appropriately

# Core Gateway technologies, all 3 modes
WEP_FusProj,w
WEP_AmProj,w
WEP_MesProj,w

WEP_Phas,w
WEP_PDPhas,w
WEP_PlsPhas,w

WEP_HCLas,w
WEP_Lancer,w
WEP_CtngBm,w

WEP_PrtBm,w
WEP_NeutBm,w
WEP_PosiBm,w
WEP_MesBm,w
WEP_GravBm,w
WEP_PulGrvBm,w

WEP_Dsrptr,w
WEP_EmPulse,w
WEP_PlsTrp,w

WEP_PlsmTrp,w
WEP_FusTrp,w
WEP_DtFsTrp,w
WEP_AmTrp,w
WEP_DtAmTrp,w

WEP_PhotTrp,w
WEP_GluTrp,w
WEP_KelTrp,w
WEP_MesTrp,w


#WEP_Nukes   # starter missile
WEP_NukeWhd,w
WEP_GmaWhd,w
WEP_FusWhd,w
WEP_AmWhd,w
WEP_DFMsl,w
WEP_CorMsl,w
WEP_NanMsl,w
WEP_HvyPMsl,w
WEP_MWMsl,w

WEP_NukMine,w
WEP_FusMine,w
WEP_AmMine,w
WEP_GrvMine,w
WEP_ImpMine,w
WEP_LpMine,w
WEP_ClkMine,w

WEP_NdMsl,w

#WEP_GsDrvr # starter balistics
WEP_MasDrvr,w
WEP_HvyDrvr,w
WEP_APRtech,w
WEP_VRFtech,w
WEP_PDtech,w
WEP_BrstrDrvr,w
WEP_ShldDrvr,w
WEP_SgeDrvr,w
WEP_ThmpDrvr,w
WEP_NeutRnd,w
WEP_ErgDrain,w
WEP_KKMsl,w
WEP_SnpCanDrvr,w
WEP_StrmDrvr,w
WEP_HStrmDrvr,w
WEP_MasShtDrvr,w
WEP_AccAmp,w

WEP_DsrptrWhp,w

WEP_PolPlsm,w
WEP_PolFus,w
WEP_PolAm,w

IND_RefCoat,w
IND_ImpRfCt,w
IND_PlyAlloy,w
IND_MagLat,w
IND_QrkRes,w
IND_AdmAly,w
IND_StlthArm,w

IND_SpnlMnt,w
IND_CruisCon,w
IND_TrpSat,w
IND_DreadCon,w
IND_PredGun,w
IND_BrdPod,w
IND_TrkStl,w
IND_HrdElec,w
IND_AdvDreadEng,w
IND_AstMon,w

# Since this is -10% IO, maybe AI should always ignore this tech?
IND_HrdStrct,w

DRV_McroFus,w
DRV_SmlFus,w
DRV_McrFlkr,w
DRV_QntCap,w
DRV_OvrThrust,w
# interceptor missiles
DRV_Ints,w
# ionic thrusters
DRV_IncThrst,w

#CCC_FTLCom     # starter CCC
#CCC_NdTrkZul   # does zuul start with this?  (not without modding)
#CCC_NdTrkHum   # does human start with this? (not without modding)

CCC_BtlCmp,w
CCC_DatSyn,w
CCC_ArmCom,w
CCC_CmbtAlg,w
CCC_HoloTac,w
# flag central command
CCC_FCCom,w

# Does the AI need/use these? Should ignore them?
#CCC_AdvCnC
#CCC_DatCor
#CCC_SpyBm
#CCC_SpJam
# The AI does research this, but maybe it never changes a fleets orders? Maybe skip it?
#CCC_HypCom

CCC_SnsJam,w
CCC_QntChaf,w
CCC_IntSens,w
CCC_AdvSens,w
CCC_TunSens,w
CCC_ScanSats,w
CCC_ComRaid,w

# does the Computer get AI techs?
#CCC_AI
#CCC_AIAdmin
#CCC_AIFac
#CCC_AIFrCon
#CCC_AIVrus
#CCC_AISlv

SLD_Def,w
SLD_Clk,w
SLD_ImpClk,w
SLD_MkOne,w
SLD_MkTwo,w
SLD_MkThree,w
SLD_MkFour,w
SLD_ErgAb,w
SLD_MesShld,w
SLD_GrvShld,w
#SLD_Intang,w  # Removed by phase 1
SLD_Magni,w
SLD_Proj,w
SLD_Disr,w
SLD_Focus,w

# combat drones
DRN_Cmbt,w
DRN_Squad,w
DRN_WingMan,w
DRN_AdvFrm,w
DRN_Sats,w
DRN_BtlRdrs,w
DRN_COL,w
DRN_CryCOL,w
DRN_CrakCOL,w
# TarPit
DRN_TPCOL,w
# autonomous drones
DRN_Auto,w


# Leave the xeno techs as default, Does the AI ever research them?

#CCC_TrnsHum
#CCC_TrnsHvr
#CCC_TrnsTrk
#CCC_TrnsLir
#CCC_TrnsMorr
# I guess they should unlock war sections
CCC_TrnsZul,w

#XNC_TrnsHum2
#XNC_IncHum
#XNC_AdctHum
#XNC_TempHum
#XNC_TrnsHum3
#XNC_SubHum
#XNC_AccHum
#XNC_ProfHum
#XNC_TrnsHvr2
#XNC_IncHvr
#XNC_AdctHvr
#XNC_TempHvr
#XNC_TrnsHvr3
#XNC_SubHvr
#XNC_AccHvr
#XNC_ProfHvr
#XNC_TrnsTrk2
#XNC_IncTrk
#XNC_AdctTrk
#XNC_TempTrk
#XNC_TrnsTrk3
#XNC_SubTrk
#XNC_AccTrk
#XNC_ProfTrk
#XNC_TrnsLir2
#XNC_IncLir
#XNC_AdctLir
#XNC_TempLir
#XNC_TrnsLir3
#XNC_SubLir
#XNC_AccLir
#XNC_ProfLir
#XNC_TrnsZuul2
#XNC_DomZuul
#XNC_SubZuul
#XNC_TrnsMorr2
#XNC_IncMorr
#XNC_AdctMorr
#XNC_TempMorr
#XNC_TrnsMorr3
#XNC_SubMorr
#XNC_AccMorr
#XNC_ProfMorr


